Date,Open,High,Low,Close,Hurst
2016/4/14,4947.62,4961.3,4931.81,4945.89,0.416826246
2016/4/15,4938.83,4950.43,4925.46,4938.22,0.429623868
2016/4/18,4919.36,4960.79,4915.63,4960.02,0.444782525
2016/4/19,4968.3,4968.67,4915.52,4940.33,0.444526109
2016/4/20,4941.99,4969.32,4928.29,4948.13,0.446685067
2016/4/21,4949.12,4966.61,4932.64,4945.89,0.447715572
2016/4/22,4898.24,4921.66,4872.02,4906.23,0.455668321
2016/4/25,4891.48,4904.87,4878.37,4895.79,0.45885643
2016/4/26,4903.81,4915,4875.42,4888.28,0.461376523
2016/4/27,4855.38,4872.91,4826.38,4863.14,0.446879296
2016/4/28,4857.6,4889.16,4796.32,4805.29,0.440812124
2016/4/29,4805.79,4807.89,4740.84,4775.36,0.448921913
2016/5/2,4786.55,4821.57,4768.28,4817.59,0.475626015
2016/5/3,4780.88,4791.43,4749.71,4763.22,0.484631394
2016/5/4,4735.28,4751.64,4713.91,4725.64,0.483914419
2016/5/5,4742.42,4744.55,4709.75,4717.09,0.493663118
2016/5/6,4695.9,4736.15,4684.28,4736.15,0.520220414
2016/5/9,4736.35,4771.94,4735.06,4750.21,0.52853537
2016/5/10,4768.91,4811.3,4758.2,4809.88,0.518684681
2016/5/11,4799.3,4812.19,4760.36,4760.69,0.504545068
2016/5/12,4778.19,4779.46,4710.16,4737.33,0.492985822
2016/5/13,4731.07,4759.29,4708.26,4717.68,0.483692763
2016/5/16,4728.86,4791.25,4724.73,4775.46,0.484084582
2016/5/17,4768.85,4776.15,4703.39,4715.73,0.481761385
2016/5/18,4705.78,4762.28,4704.49,4739.12,0.475874402
2016/5/19,4717.36,4735.27,4678.38,4712.53,0.471576895
2016/5/20,4729.44,4781.7,4729,4769.56,0.476033862
2016/5/23,4771.57,4792.64,4763.91,4765.78,0.48723869
2016/5/24,4792.85,4865.99,4792.63,4861.06,0.480916683
2016/5/25,4877.18,4905.45,4872.42,4894.89,0.464943219
2016/5/26,4897.78,4909.38,4887.27,4901.77,0.463970895
2016/5/27,4904.05,4933.51,4902.5,4933.51,0.475340703
2016/5/31,4938.48,4951.45,4923.03,4948.06,0.496646741
2016/6/1,4928.97,4958.98,4923.2,4952.25,0.496202879
2016/6/2,4941.25,4971.36,4924.23,4971.36,0.493714212
2016/6/3,4958.1,4958.65,4909.21,4942.52,0.487821419
2016/6/6,4950.46,4980.14,4944.87,4968.71,0.493132288
2016/6/7,4972.14,4979.38,4960.28,4961.75,0.507342109
2016/6/8,4970.01,4979.66,4956.79,4974.64,0.513745402
2016/6/9,4954.15,4965.49,4940.55,4958.62,0.498071529
2016/6/10,4915.15,4917.92,4880.61,4894.55,0.484735846
2016/6/13,4868.51,4894.85,4844.94,4848.44,0.482975575
2016/6/14,4836.67,4863.01,4811.93,4843.55,0.482602944
2016/6/15,4855.08,4868.16,4830.33,4834.93,0.473855704
2016/6/16,4809.69,4847.86,4778.78,4844.91,0.475958161
2016/6/17,4835.02,4835.02,4792.34,4800.34,0.482372475
2016/6/20,4856.69,4882.15,4834.51,4837.21,0.483372806
2016/6/21,4845.09,4852.19,4826.59,4843.76,0.482775264
2016/6/22,4846.68,4875.93,4830,4833.32,0.495624905
2016/6/23,4872.19,4910.04,4859.4,4910.04,0.486961735
2016/6/24,4715.8,4798.22,4698.42,4707.98,0.47677635
2016/6/27,4664.43,4665.04,4574.25,4594.44,0.48417207
2016/6/28,4643.93,4692.98,4643.93,4691.87,0.510354811
2016/6/29,4732.93,4787.59,4732.34,4779.24,0.512431465
2016/6/30,4793.75,4843.11,4774.52,4842.67,0.508262492
2016/7/1,4837.18,4880.17,4837.17,4862.57,0.514759705
2016/7/5,4837.06,4839.13,4797.29,4822.9,0.522069939
2016/7/6,4799.32,4861.05,4786.01,4859.16,0.52418104
2016/7/7,4867.47,4889.01,4853.68,4876.81,0.516188788
2016/7/8,4906.66,4959,4901.27,4956.76,0.502214638
2016/7/11,4976.54,5002.5,4976.54,4988.64,0.501311004
2016/7/12,5017.99,5032.1,5009.68,5022.82,0.507977262
2016/7/13,5036.32,5036.39,5002.82,5005.73,0.50899257
2016/7/14,5041.95,5045.18,5025.15,5034.06,0.499682514
2016/7/15,5041.19,5044.81,5018.52,5029.59,0.496101668
2016/7/18,5034.99,5063.53,5030.13,5055.78,0.49942316
2016/7/19,5038.22,5052.24,5028.24,5036.37,0.501798167
2016/7/20,5061.6,5098.25,5053.92,5089.93,0.51024613
2016/7/21,5093.97,5102.78,5061.11,5073.9,0.512825185
2016/7/22,5078.12,5103.52,5064.11,5100.16,0.508865365
2016/7/25,5096.99,5100.72,5082.66,5097.63,0.508797104
2016/7/26,5095.61,5122.3,5084.18,5110.05,0.515899153
2016/7/27,5143.84,5151.06,5120.66,5139.81,0.522806087
2016/7/28,5144.82,5160.16,5130.75,5154.98,0.516292959
2016/7/29,5162.15,5175.81,5140.05,5162.13,0.520529928
2016/8/1,5167.42,5199.13,5158.93,5184.2,0.530418743
2016/8/2,5177.53,5181.02,5109.8,5137.73,0.530231408
2016/8/3,5133.24,5159.74,5128.44,5159.74,0.530067269
2016/8/4,5158.02,5174,5145.39,5166.25,0.532601447
2016/8/5,5190.71,5227.23,5186.24,5221.12,0.523466449
2016/8/8,5223.54,5228.4,5202.18,5213.14,0.514539618
2016/8/9,5216.21,5238.54,5214.95,5225.48,0.520410563
2016/8/10,5227.95,5227.96,5193.8,5204.59,0.532858311
2016/8/11,5222.15,5235.29,5211.25,5228.4,0.526651035
2016/8/12,5219.66,5233.34,5215.55,5232.9,0.518415931
2016/8/15,5242.18,5271.36,5241.14,5262.02,0.518423086
2016/8/16,5247.96,5248.26,5226.78,5227.11,0.505297032
2016/8/17,5228.44,5230.09,5197.23,5228.66,0.492490049
2016/8/18,5226.45,5243.17,5221.84,5240.15,0.496346293
2016/8/19,5229.87,5245.81,5217.65,5238.38,0.494844321
2016/8/22,5231.46,5252.13,5224.63,5244.6,0.486175617
2016/8/23,5265.78,5275.74,5257.9,5260.08,0.493880302
2016/8/24,5254.42,5262.99,5205.64,5217.69,0.522308915
2016/8/25,5207.61,5230.59,5201.64,5212.2,0.540917203
2016/8/26,5219.05,5253.39,5191.86,5218.92,0.544395229
2016/8/29,5223.8,5245.12,5222.34,5232.33,0.546214603
2016/8/30,5229.88,5241.62,5205.61,5222.99,0.554094591
2016/8/31,5216.42,5219.89,5191.18,5213.22,0.56173968
2016/9/1,5218.28,5229.94,5189.36,5227.21,0.55533049
2016/9/2,5249.66,5263.39,5231.02,5249.9,0.550977869
2016/9/6,5259.99,5275.91,5244,5275.91,0.553592119
2016/9/7,5274.23,5287.61,5261.92,5283.93,0.555991492
2016/9/8,5269.96,5271.01,5248.41,5259.48,0.559931539
2016/9/9,5217.95,5225.94,5125.91,5125.91,0.552445586
2016/9/12,5098.03,5217.88,5097.8,5211.89,0.556433235
2016/9/13,5181.14,5195.02,5131.27,5155.26,0.550021715
2016/9/14,5160.21,5201.34,5159.55,5173.77,0.533142592
2016/9/15,5178.1,5254.78,5176.25,5249.69,0.535542845
2016/9/16,5238.71,5248.6,5218.97,5244.57,0.537022128
2016/9/19,5263.55,5281.07,5222.91,5235.03,0.532185702
2016/9/20,5256.19,5265.18,5235.42,5241.35,0.52085405
2016/9/21,5263.65,5299.4,5233.94,5295.18,0.512659027
2016/9/22,5323.26,5342.88,5320.93,5339.52,0.509344442
2016/9/23,5327.43,5329.71,5301.63,5305.75,0.506535126
2016/9/26,5275.73,5282.27,5254.96,5257.49,0.503043063
2016/9/27,5254.18,5306.81,5251.32,5305.71,0.506655288
2016/9/28,5312.73,5320.62,5284.84,5318.55,0.500960363
2016/9/29,5311.31,5317,5254.52,5269.15,0.506988857
2016/9/30,5288.87,5325.88,5277.88,5312,0.536446501
2016/10/3,5300.29,5308.6,5281.95,5300.87,0.528859367
2016/10/4,5313.49,5323.6,5271.7,5289.66,0.514601268
2016/10/5,5305.28,5330.81,5304.06,5316.02,0.517127134
2016/10/6,5306.59,5315.73,5281.47,5306.85,0.529934144
2016/10/7,5314.92,5315.65,5266.8,5292.4,0.531034437
2016/10/10,5318.46,5340.52,5317.73,5328.67,0.53380489
2016/10/11,5321.82,5321.82,5227.43,5246.79,0.524322715
